  18915328: /usr
  10256384: /usr/lib
   5255168: /usr/sbin
   3538944: /lib
   2076672: /usr/lib/python2.7
   1990656: /usr/bin
   1626112: /lib/systemd
   1384448: /usr/share
    937984: /usr/lib/python2.7/lib-dynload
    913408: /bin
    761856: /usr/lib/libcrypto.so.1.1
    679936: /usr/share/www
    638976: /usr/lib/ipmid-providers
    598016: /lib/systemd/libsystemd-shared-239.so
    536576: /usr/lib/libgnutls.so.30.22.0
    516096: /usr/lib/libpython2.7.so.1.0
    483328: /lib/libc-2.28.so
    479232: /usr/bin/bmcweb
    434176: /usr/lib/libgio-2.0.so.0.5800.0
    425984: /usr/lib/libxml2.so.2.9.8
    360448: /usr/share/www/redfish
    360448: /usr/share/www/redfish/v1
    360448: /usr/lib/libunistring.so.2.1.0
    352256: /bin/bash.bash
    352256: /usr/share/mime
    348160: /usr/sbin/entity-manager
    348160: /lib/systemd/systemd
    331776: /usr/lib/libgcrypt.so.20.2.4
    323584: /usr/lib/libstdc++.so.6.0.25
    319488: /usr/lib/libglib-2.0.so.0.5800.0
    311296: /lib/libm-2.28.so
    278528: /bin/busybox.nosuid
    278528: /usr/lib/python2.7/site-packages
    270336: /usr/lib/locale
    270336: /usr/lib/locale/locale-archive
    266240: /usr/bin/ipmitool
    225280: /usr/share/www/app.bundle.js.gz
    221184: /usr/lib/ipmid-providers/libipmi20.so.0.0.0
    217088: /usr/sbin/rsyslogd
    212992: /usr/share/cracklib
    208896: /lib/libsystemd.so.0.23.0
    204800: /usr/lib/libkrb5.so.3.3
    192512: /usr/share/www/redfish/v1/schema
    192512: /usr/sbin/fru-device
    188416: /usr/lib/libuserlayer.so.0.0.0
    184320: /lib/systemd/systemd-udevd
    180224: /usr/lib/python2.7/lib-dynload/unicodedata.so
    180224: /usr/sbin/fansensor
    176128: /sbin
    176128: /lib/systemd/systemd-networkd
    172032: /usr/sbin/phosphor-inventory
    167936: /usr/share/mime/application
    167936: /usr/sbin/cpusensor
    163840: /usr/lib/libgmp.so.10.3.2
    163840: /usr/sbin/exitairtempsensor
    163840: /usr/sbin/phosphor-network-manager
    159744: /usr/share/www/redfish/v1/JsonSchemas
    159744: /usr/sbin/hwmontempsensor
    159744: /usr/sbin/adcsensor
    151552: /usr/lib/libphosphor_dbus.so.0.0.0
    151552: /usr/lib/xtables
    151552: /usr/sbin/ipmbsensor
    143360: /usr/bin/cpu_log
    139264: /usr/bin/rsync
    139264: /usr/sbin/phosphor-user-manager
    135168: /usr/sbin/phosphor-settings-manager
    135168: /usr/sbin/phosphor-image-updater
    135168: /usr/sbin/ipmievd
    131072: /usr/lib/libssl.so.1.1
    131072: /usr/sbin/phosphor-srvcfg-manager
    126976: /usr/lib/libnetsnmp.so.35.0.0
    126976: /lib/libext2fs.so.2.4
    122880: /usr/lib/libhogweed.so.4.4
    118784: /usr/share/cracklib/cracklib-small
    118784: /usr/lib/ipmid-providers/libfwupdcmds.so.0.1.0
    114688: /usr/sbin/phosphor-log-manager
    114688: /lib/libmount.so.1.1.0
    114688: /lib/systemd/systemd-resolved
    110592: /usr/sbin/phosphor-dump-manager
    106496: /usr/sbin/swampd
    106496: /lib/libblkid.so.1.1.0
    102400: /usr/lib/libgobject-2.0.so.0.5800.0
    102400: /usr/lib/ipmid-providers/libzinteloemcmds.so.0.1.0
    102400: /usr/sbin/gpiodaemon
     98304: /usr/lib/libvncserver.so.0.9.12
     98304: /usr/sbin/phosphor-host-state-manager
     94208: /usr/lib/libldap_r-2.4.so.2.10.9
     94208: /usr/lib/libnettle.so.6.4
     94208: /usr/sbin/phosphor-chassis-state-manager
     94208: /usr/sbin/dropbearmulti
     94208: /usr/sbin/phosphor-dbus-monitor
     94208: /usr/sbin/mapperx
     90112: /usr/share/cracklib/pw_dict.pwd
     90112: /usr/lib/libreadline.so.7.0
     90112: /usr/lib/libldap-2.4.so.2.10.9
     90112: /usr/lib/libdbus-1.so.3.19.8
     90112: /usr/sbin/phosphor-network-snmpconf
     86016: /usr/bin/power-control
     86016: /usr/lib/libgssapi_krb5.so.2.2
     86016: /usr/lib/libjpeg.so.62.3.0
     86016: /lib/udev
     77824: /usr/bin/buttons
     77824: /usr/sbin/phosphor-ldap-mapper
     77824: /usr/sbin/phosphor-ldap-conf
     77824: /usr/sbin/phosphor-version-software-manager
     73728: /usr/lib/libpcre.so.1.2.10
     73728: /usr/lib/libpng16.so.16.35.0
     73728: /usr/lib/python2.7/lib-dynload/_codecs_cn.so
     73728: /usr/lib/python2.7/lib-dynload/_codecs_jp.so
     69632: /usr/lib/libk5crypto.so.3.1
     69632: /usr/lib/python2.7/site-packages/gtk-2.0
     69632: /usr/sbin/phosphor-certificate-manager
     69632: /lib/security
     65536: /usr/lib/libavahi-core.so.7.0.2
     65536: /usr/lib/python2.7/xml
     65536: /usr/sbin/phosphor-dump-monitor
     61440: /usr/bin/dbus-broker
     61440: /usr/bin/dbus-daemon
     61440: /usr/lib/liblzma.so.5.2.4
     61440: /usr/lib/rsyslog
     61440: /usr/lib/python2.7/site-packages/gtk-2.0/gio
     61440: /usr/lib/python2.7/lib-dynload/pyexpat.so
     61440: /usr/lib/python2.7/lib-dynload/_codecs_kr.so
     61440: /usr/lib/ipmid-providers/libmtmcmds.so.0.1.0
     61440: /usr/sbin/netipmid
     61440: /usr/sbin/phosphor-download-manager
     61440: /lib/ld-2.28.so
     57344: /bin/systemctl
     57344: /usr/lib/libopenbmc_intf.so.1
     57344: /usr/lib/python2.7/site-packages/dbus
     57344: /usr/lib/python2.7/site-packages/gtk-2.0/gio/_gio.so
     57344: /usr/lib/python2.7/lib-dynload/_codecs_tw.so
     53248: /usr/lib/libexpat.so.1.6.8
     53248: /usr/sbin/ipmbbridged
     49152: /etc
     49152: /usr/share/mime/text
     49152: /usr/lib/python2.7/encodings
     49152: /usr/sbin/nslcd
     49152: /usr/sbin/nscd
     45056: /bin/kmod
     45056: /usr/share/www/app.css.gz
     45056: /usr/lib/ipmid-providers/libsmbiosmdrv2.so.0.1.0
     40960: /usr/bin/sel-logger
     40960: /usr/lib/libgpg-error.so.0.24.3
     40960: /usr/lib/python2.7/email
     40960: /usr/lib/python2.7/site-packages/gobject
     40960: /usr/lib/python2.7/lib-dynload/_io.so
     40960: /lib/systemd/systemd-journald
     36864: /bin/systemd-hwdb
     36864: /usr/bin/frb2-watchdog
     36864: /usr/lib/libidn2.so.0.3.4
     36864: /usr/lib/libnl-3.so.200.26.0
     36864: /usr/lib/python2.7/site-packages/_dbus_bindings.so
     36864: /usr/lib/python2.7/site-packages/gobject/_gobject.so
     36864: /usr/sbin/smbiosapp
     36864: /usr/sbin/node-manager-proxy
     36864: /usr/sbin/phosphor-fan-monitor
     36864: /lib/libtinfo.so.5.9
     32768: /usr/bin/resolvectl
     32768: /usr/bin/mtd-util
     32768: /usr/lib/libcrypt.so.1.1.0
     32768: /usr/lib/libboost_thread.so.1.68.0
     32768: /usr/lib/python2.7/logging
     32768: /usr/lib/python2.7/site-packages/obmc
     32768: /usr/lib/python2.7/lib-dynload/_ctypes.so
     32768: /usr/lib/python2.7/xml/dom
     32768: /usr/lib/ipmid-providers/libusercmds.so.0.0.0
     32768: /usr/lib/ipmid-providers/libsmbioshandler.so.0.1.0
     32768: /usr/sbin/ipmid
     32768: /usr/sbin/phosphor-softpoweroff
     32768: /lib/libgcc_s.so.1
     32768: /lib/libz.so.1.2.11
     32768: /lib/libpthread-2.28.so
     28672: /usr/bin/lsz
     28672: /usr/bin/gpasswd
     28672: /usr/share/mime/mime.cache
     28672: /usr/share/mime/image
     28672: /usr/lib/python2.7/lib-dynload/datetime.so
     28672: /usr/lib/python2.7/lib-dynload/_codecs_hk.so
     28672: /usr/sbin/useradd
     28672: /usr/sbin/usermod
     28672: /lib/libresolv-2.28.so
     28672: /lib/systemd/system
     24576: /usr/bin/dbus-broker-launch
     24576: /usr/bin/xz.xz
     24576: /usr/bin/dtc
     24576: /usr/bin/lrz
     24576: /usr/share/locale
     24576: /usr/share/locale/en_GB
     24576: /usr/share/locale/en_GB/LC_MESSAGES
     24576: /usr/share/www/app
     24576: /usr/share/www/app/assets
     24576: /usr/share/www/app/assets/images
     24576: /usr/lib/libbz2.so.1.0.6
     24576: /usr/lib/libwritefrudata.so.1.0.0
     24576: /usr/lib/libsdeventplus.so.0.0.0
     24576: /usr/lib/python2.7/tarfile.pyc
     24576: /usr/lib/python2.7/lib-dynload/_ssl.so
     24576: /usr/lib/python2.7/lib-dynload/parser.so
     24576: /usr/lib/python2.7/lib-dynload/cPickle.so
     24576: /usr/sbin/logrotate
     24576: /usr/sbin/avahi-daemon
     24576: /usr/sbin/xtables-multi
     24576: /lib/libnsl-2.28.so
     24576: /lib/systemd/system-generators
     20480: /bin/busybox.suid
     20480: /usr/bin/jtag_test
     20480: /usr/bin/asd
     20480: /usr/share/locale/en_GB/LC_MESSAGES/glib20.mo
     20480: /usr/lib/libkmod.so.2.3.3
     20480: /usr/lib/libboost_iostreams.so.1.68.0
     20480: /usr/lib/python2.7/site-packages/glib
     20480: /usr/lib/python2.7/lib-dynload/_socket.so
     20480: /usr/sbin/smbiosmdrv2app
     20480: /usr/sbin/userdel
     20480: /usr/sbin/newusers
     20480: /usr/sbin/phosphor-fan-control
     20480: /usr/sbin/phosphor-fru-fault-monitor
     20480: /lib/systemd/systemd-timesyncd
     20480: /lib/udev/scsi_id
     16384: /bin/systemd-tmpfiles
     16384: /bin/networkctl
     16384: /bin/mount.util-linux
     16384: /bin/journalctl
